Sequence in Dataset,Name,Label,Type,Level,Width,Decimals,Domain,Value scheme,Missing Scheme,Link to values,
287,I_Q04l,About yourself - Learning strategies - Figure out how different ideas fit together,Integer,Ordinal,1,0,Background questionnaire,Extents,BQ (numeric),Values,
288,I_Q04m,About yourself - Learning strategies - Looking for additional info,Integer,Ordinal,1,0,Background questionnaire,Extents,BQ (numeric),Values,
289,I_Q05f,About yourself - Cultural engagement - Voluntary work for non-profit organisations,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
290,I_Q06a,About yourself - Political efficacy - No influence on the government,Integer,Ordinal,1,0,Background questionnaire,Agreement (5-point Likert),BQ (numeric),Values,
291,I_Q07a,About yourself - Social trust - Trust only few people,Integer,Ordinal,1,0,Background questionnaire,Agreement (5-point Likert),BQ (numeric),Values,
292,I_Q07b,About yourself - Social trust - Other people take advantage of you,Integer,Ordinal,1,0,Background questionnaire,Agreement (5-point Likert),BQ (numeric),Values,
293,I_Q08,About yourself - Health - State,Integer,Ordinal,1,0,Background questionnaire,Health - levels,BQ (numeric),Values,
294,I_Q08_T,General health (Trend-IALS/ALL),Integer,Ordinal,1,0,Background questionnaire (trend),Health - levels,BQ (numeric),Values,
295,J_Q01,Background - People in household,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
296,J_Q01_C,Background - People in household (top-coded at 6),Integer,Ratio,2,0,Background questionnaire (derived),,BQ (numeric),Values,
297,J_Q01_T,Number living in household (Trend-IALS/ALL),Integer,Ratio,2,0,Background questionnaire (trend),,Trend - BQ (nummeric) collapsed,Values,
298,J_Q01_T1,Number living in household (from 1 to 7) (Trend-IALS/ALL),Integer,Ordinal,2,0,Background questionnaire (trend),Trend - Persons in household (1-7),Trend - BQ (nummeric) collapsed,Values,
299,J_Q02a,Background - Living with spouse or partner,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
300,J_Q02c,Background - Work situation of spouse or partner,Integer,Nominal,2,0,Background questionnaire,Current employment situation,BQ (numeric),Values,
301,J_Q03a,Background - Children,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
302,J_Q03b,Background - Number of children,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
303,J_Q03b_C,Background - Number of children (top-coded at 4),Integer,Ratio,1,0,Background questionnaire (derived),,BQ (numeric),Values,
304,J_Q03c,Background - Age of the child,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
305,J_Q03c_C,"Background - Age of the child (categorised, 4 categories)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Age categories (1-4),BQ (numeric),Values,
306,J_Q03d1,Background - Age of the youngest child,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
307,J_Q03d1_C,"Background - Age of the youngest child (categorised, 4 categories)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Age categories (1-4),BQ (numeric),Values,
308,J_Q03d2,Background - Age of the oldest child,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
309,J_Q03d2_C,"Background - Age of the oldest child (categorised, 4 categories)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Age categories (1-4),BQ (numeric),Values,
310,J_Q04a,Background - Born in country,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
311,J_Q04a_T,Born in country (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Yes (1) / No (2),Trend - BQ (nummeric) collapsed,Values,
312,J_Q04c1,Background - Age of immigration,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
313,J_Q04c1_C,"Background - Age of immigration (categorised, 9 categories)",Integer,Ordinal,2,0,Background questionnaire (derived),"Derived - Age categories (1-9, 41+)",BQ (numeric),Values,
314,J_Q04c2,Background - Year of immigration,Integer,Scale,4,0,Background questionnaire,,BQ (numeric),Values,
315,J_Q04c2_T,Year of immigration to country (Trend-IALS/ALL),Integer,Scale,4,0,Background questionnaire (trend),,Trend - J_Q04c2_T,Values,
316,J_Q04c2_T1,Year of immigration to country - range of years (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Trend - Range of years categories (1-5),BQ (numeric),Values,
317,J_N05a2,Background - More than one language mentioned,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
318,J_Q06a,Background - Mother/female guardian - Whether born in country,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
319,J_Q06a_T,Mother or female guardian born in country (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Trend - Yes (1) / No (2) / Not applicable (3),BQ (numeric),Values,
320,J_Q06b,Background - Mother/female guardian - Highest level of education,Integer,Nominal,1,0,Background questionnaire,ISCED 1997 PIAAC short (1-3),BQ (numeric),Values,
321,J_Q06b_T,Highest level of education - mother or female guardian (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Trend - ISCED Levels (1-4),BQ (numeric),Values,
322,J_Q07a,Background - Father/male guardian - Whether born in #counrtyname,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
323,J_Q07a_T,Father or male guardian born in country (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Trend - Yes (1) / No (2) / Not applicable (3),BQ (numeric),Values,
324,J_Q07b,Background - Father/male guardian - Highest level of education,Integer,Nominal,1,0,Background questionnaire,ISCED 1997 PIAAC short (1-3),BQ (numeric),Values,
325,J_Q07b_T,Highest level of education - father or male guardian (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Trend - ISCED Levels (1-4),BQ (numeric),Values,
326,J_Q08,Background - Number of books at home,Integer,Ordinal,2,0,Background questionnaire,Book numbers at home,BQ (numeric),Values,
327,COMPUTEREXPERIENCE,Respondent experience with computer (DERIVED BY CAPI),Integer,Nominal,1,0,Workflow / logistics,Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
328,NATIVESPEAKER,Respondent is a native speaker (DERIVED BY CAPI),Integer,Nominal,1,0,Workflow / logistics,Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
329,EDLEVEL3,Educational level of the respondent (DERIVED BY CAPI),Integer,Nominal,1,0,Workflow / logistics,Educational levels,"Default (""blank""/Null/. only)",Values,
330,CBA_CORE_STAGE1_SCORE,CBA Core score for stage 1,Numeric/floating point,Nominal,3,1,Workflow / logistics,,"Default (""blank""/Null/. only)",n/a,
331,CBA_CORE_STAGE2_SCORE,CBA Core score for stage 2,Integer,Nominal,1,0,Workflow / logistics,,"Default (""blank""/Null/. only)",n/a,
332,CORESTAGE1_PASS,Core Stage 1 pass status,Integer,Nominal,2,0,Sampling / weighting,Core passed flag,"Default (""blank""/Null/. only)",Values,
333,CORESTAGE2_PASS,Core Stage 2 pass status,Integer,Nominal,2,0,Sampling / weighting,Core passed flag,"Default (""blank""/Null/. only)",Values,
334,RANDOM_CBA_MODULE1,Random number for selection of domain (L/N/P) in CBA Module 1,Numeric/floating point,Nominal,8,6,Workflow / logistics,,"Default (""blank""/Null/. only)",n/a,
335,RANDOM_CBA_MODULE2,Random number for selection of domain (L/N/P) in CBA Module 2,Numeric/floating point,Nominal,8,6,Workflow / logistics,,"Default (""blank""/Null/. only)",n/a,
336,RANDOM_CBA_MODULE1_STAGE1,Random number for selection of domain (L/N) in stage1 of CBA Module 1,Numeric/floating point,Nominal,8,6,Workflow / logistics,,"Default (""blank""/Null/. only)",n/a,
337,RANDOM_CBA_MODULE1_STAGE2,Random number for selection of domain (L/N) in stage2 of CBA Module 1,Numeric/floating point,Nominal,8,6,Workflow / logistics,,"Default (""blank""/Null/. only)",n/a,
338,RANDOM_CBA_MODULE2_STAGE1,Random number for selection of domain (L/N) in stage1 of CBA Module 2,Numeric/floating point,Nominal,8,6,Workflow / logistics,,"Default (""blank""/Null/. only)",n/a,
339,RANDOM_CBA_MODULE2_STAGE2,Random number for selection of domain (L/N) in stage2 of CBA Module 2,Numeric/floating point,Nominal,8,6,Workflow / logistics,,"Default (""blank""/Null/. only)",n/a,
340,CBA_START,Computer-based exercise agreement,Integer,Nominal,1,0,Workflow / logistics,Continue to CBA,"Default (""blank""/Null/. only)",Values,
341,PPC_SCORE,Final score for the paper core assessment,Integer,Nominal,1,0,Sampling / weighting,,"Default (""blank""/Null/. only)",n/a,
342,RANDOM_PP,Random number for selection of Paper Booklets,Numeric/floating point,Nominal,8,6,Workflow / logistics,,"Default (""blank""/Null/. only)",n/a,
343,PRC_PV_Q1,Sentence Timer for Print Vocabulary items,Integer,Ratio,8,0,Workflow / logistics,,"Cognitive (""valid skip"" and ""not stated"")",Values,
344,PRC_SP_Q1,Sentence Timer for Sentence Processing items,Integer,Ratio,8,0,Workflow / logistics,,"Cognitive (""valid skip"" and ""not stated"")",Values,
345,PRC_PF_Q1,Sentence Timer for Passage Comprehension items - passage 1,Integer,Ratio,8,0,Workflow / logistics,,"Cognitive (""valid skip"" and ""not stated"")",Values,
346,PRC_PF_Q2,Sentence Timer for Passage Comprehension items - passage 2,Integer,Ratio,8,0,Workflow / logistics,,"Cognitive (""valid skip"" and ""not stated"")",Values,
347,PRC_PF_Q3,Sentence Timer for Passage Comprehension items - passage 3 and 4,Integer,Ratio,8,0,Workflow / logistics,,"Cognitive (""valid skip"" and ""not stated"")",Values,
348,PAPER,Paper branch (derived),Integer,Nominal,1,0,Workflow / logistics,Derived - PAPER,"Default (""blank""/Null/. only)",Values,
349,CBAMOD1,CBA module 1 branch (derived),Integer,Nominal,1,0,Workflow / logistics,Derived - CBAMOD1,"Default (""blank""/Null/. only)",Values,
350,CBAMOD2,CBA module 2 branch (derived),Integer,Nominal,1,0,Workflow / logistics,Derived - CBAMOD2,"Default (""blank""/Null/. only)",Values,
351,CBAMOD2ALT,CBA module 1 and 2 branch (derived),Integer,Nominal,2,0,Workflow / logistics,Derived - CBAMOD12,"Default (""blank""/Null/. only)",Values,
352,CBAMOD1STG1,"CBA module 1, stage 1 branch (derived)",Integer,Nominal,1,0,Workflow / logistics,Derived - MODSTAGE1,"Default (""blank""/Null/. only)",Values,
353,CBAMOD2STG1,"CBA module 2, stage 1 branch (derived)",Integer,Nominal,1,0,Workflow / logistics,Derived - MODSTAGE1,"Default (""blank""/Null/. only)",Values,
354,CBAMOD1STG2,"CBA module 1, stage 2 branch (derived)",Integer,Nominal,1,0,Workflow / logistics,Derived - MODSTAGE2,"Default (""blank""/Null/. only)",Values,
355,CBAMOD2STG2,"CBA module 2, stage 2 branch (derived)",Integer,Nominal,1,0,Workflow / logistics,Derived - MODSTAGE2,"Default (""blank""/Null/. only)",Values,
356,MONTHLYINCPR,Monthly income percentile rank category (derived),Integer,Ordinal,1,0,Workflow / logistics,Derived - Income percentile,"Default (""blank""/Null/. only)",Values,
357,YEARLYINCPR,Yearly income percentile rank category (derived),Integer,Ordinal,1,0,Workflow / logistics,Derived - Income percentile,"Default (""blank""/Null/. only)",Values,
358,PBROUTE,Paper-based routing code (derived),Integer,Nominal,1,0,Workflow / logistics,Derived - PBROUTE,"Default (""blank""/Null/. only)",Values,
359,ZZ1a,Observation module: Presence of additional person,Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
360,ZZ1b_01,Observation module: Assistance in background questionnaire,Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
361,ZZ1b_02,Observation module: Assistance in skills assessment,Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
362,ZZ2,Observation module: Respondent understood the questions,Integer,Nominal,1,0,Observation module (ZZ questions),Frequency (broad),"Default (""blank""/Null/. only)",Values,
363,ZZ3,Observation module: Clarification necessary,Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
364,ZZ4_01,Observation module: Respondent held a conversation with someone else,Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
365,ZZ4_02,"Observation module: Respondent answered a phone call, text message or e-mail",Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
366,ZZ4_03,Observation module: Respondent was looking after children,Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
367,ZZ4_04,Observation module: Respondent was undertaking domestic tasks,Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
368,ZZ4_05,"Observation module: Television, radio, game console or music player was in use in the vicinity of respondent",Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
369,ZZ4_06,"Observation module: Respondent was interrupted by some other activity, task or event",Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
370,ZZ5,Observation module: Assessment taking too long,Integer,Nominal,1,0,Observation module (ZZ questions),Yes (1) / No (2),"Default (""blank""/Null/. only)",Values,
371,ZZ6,Observation module: Room of assessment,Integer,Nominal,2,0,Observation module (ZZ questions),Location of interview,"Default (""blank""/Null/. only)",Values,
372,ISCED_HF,Level of Highest Qualification (Foreign) - Respondent (ISCED) (coded),Integer,Nominal,2,0,Background (coded),"ISCED 1997 PIAAC (1-15, incl non-formal, excl foreign)",BQ (numeric),Values,
373,ISCED_HF_C,"Level of Highest Qualification (collapsed, 14 categories)",Integer,Nominal,2,0,Background questionnaire (derived),"Derived - ISCED 1997 PIAAC (1-14, incl non-formal, excl foreign - collapsed)",BQ (numeric),Values,
374,ISCO08_C,Current Job Occupation - Respondent (ISCO 2008) (coded),String/character (Unicode),Nominal,4,0,Background (coded),ISCO 2008 (1-4 digits),ISCO/ISIC (numeric fixed - 4 digit),Values,
375,ISCO08_L,Last Job Occupation - Respondent (ISCO 2008) (coded),String/character (Unicode),Nominal,4,0,Background (coded),ISCO 2008 (1-4 digits),ISCO/ISIC (numeric fixed - 4 digit),Values,
376,ISIC4_C,Current Job Industry - Respondent (ISIC rev 4) (coded),String/character (Unicode),Nominal,4,0,Background (coded),ISIC Rev 4 (1-4 digits),ISCO/ISIC (numeric fixed - 4 digit),Values,
377,ISIC4_L,Last Job Industry - Respondent (ISIC rev 4) (coded),String/character (Unicode),Nominal,4,0,Background (coded),ISIC Rev 4 (1-4 digits),ISCO/ISIC (numeric fixed - 4 digit),Values,
378,LNG_L1,First language learned at home in childhood and still understood - Respondent (ISO 639-2/T) (coded),String/character (Unicode),Nominal,3,0,Background (coded),Language ISO 639-2 (alpha-3/terminologic),Language (numeric fixed - 3 digit),Values,
379,LNG_L2,Second language learned at home in childhood and still understood - Respondent (ISO 639-2/T) (coded),String/character (Unicode),Nominal,3,0,Background (coded),Language ISO 639-2 (alpha-3/terminologic),Language (numeric fixed - 3 digit),Values,
380,LNG_HOME,Language most often spoken at home - Respondent (ISO 639-2/T) (coded),String/character (Unicode),Nominal,3,0,Background (coded),Language ISO 639-2 (alpha-3/terminologic),Language (numeric fixed - 3 digit),Values,
381,CNT_H,Country in which highest qualification was gained - Respondent (UN M49 numerical) (coded),Integer,Nominal,3,0,Background (coded),Country codes (UN M49 numeric),BQ (numeric),Values,
382,CNT_BRTH,Country of birth - Respondent (UN M49 numerical) (coded),Integer,Nominal,3,0,Background (coded),Country codes (UN M49 numeric),BQ (numeric),Values,
383,REG_TL2,Geographical region - Respondent (OECD TL2) (coded),String/character (Unicode),Nominal,5,0,Background (coded),Geographical region codes (OECD TL2),"Region (numeric fixed - 5 digit - ""not stated"" only)",Values,
384,LNG_BQ,"Language for background questionnaire (derived, ISO 639-2/T)",String/character (Unicode),Nominal,3,0,Workflow / logistics,Language ISO 639-2 (alpha-3/terminologic),Language (numeric fixed - 3 digit),Values,
385,LNG_CI,"Language for exercise (derived, ISO 639-2/T)",String/character (Unicode),Nominal,3,0,Workflow / logistics,Language ISO 639-2 (alpha-3/terminologic),Language (numeric fixed - 3 digit),Values,
386,YRSQUAL,Highest level of education obtained imputed into years of education (derived),Integer,Ratio,2,0,Background questionnaire (derived),,BQ (numeric),Values,
387,YRSQUAL_T,Derived variable on total years of schooling during lifetime - top coded at 24 (Trend-IALS/ALL),Integer,Ratio,2,0,Background questionnaire (trend),,Trend - BQ (nummeric) collapsed,Values,
388,YRSGET,Imputed years of formal education needed to get the job (self-reported - derived),Integer,Ratio,2,0,Background questionnaire (derived),,BQ (numeric),Values,
389,VET,"Respondent's highest level of education obtained is vocationally oriented (derived, ISCED3 and 4 only)",Integer,Nominal,1,0,Background questionnaire (derived),True (1) / False (0),BQ (numeric),Values,
390,CTRYQUAL,Country where highest qualification obtained (9 regions - derived),Integer,Nominal,2,0,Background questionnaire (derived),Derived - 9 Regions,BQ (numeric),Values,
391,BIRTHRGN,Country of birth (9 regions - derived),Integer,Nominal,2,0,Background questionnaire (derived),Derived - 9 Regions,BQ (numeric),Values,
392,FIRLGRGN,Source region of first language learned at home in childhood and still understand (9 regions - derived),Integer,Nominal,2,0,Background questionnaire (derived),Derived - 9 Regions,BQ (numeric),Values,
393,SECLGRGN,Source region of second language learned at home in childhood and still understand (9 regions - derived),Integer,Nominal,2,0,Background questionnaire (derived),Derived - 9 Regions,BQ (numeric),Values,
394,HOMLGRGN,Source region of language spoken most often at home (9 regions - derived),Integer,Nominal,2,0,Background questionnaire (derived),Derived - 9 Regions,BQ (numeric),Values,
395,FORBORNLANG,Interactions between foreign-born and language status (2 categories - derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Foreign-born/foreign language (0/1),"Derived (""not stated"" only)",Values,
396,PARED,Highest of mother or father's level of education (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Parents education (1-3),BQ (numeric),Values,
397,NATIVELANG,"Test language same as native language	 (derived)",Integer,Nominal,1,0,Background questionnaire (derived),Derived - Test Language/native language (0/1),BQ (numeric),Values,
398,BORNLANG,Interactions between place of birth and language status (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Native-born/native language (1-3),BQ (numeric),Values,
399,NATBILANG,Has learned as a child and still understands at least two languages including test language (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Bilingual/test language (0/1),BQ (numeric),Values,
400,FORBILANG,Has learned as a child and still understands at least two languages not including test language (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Bilingual/not test language (0/1),BQ (numeric),Values,
401,HOMLANG,Test language same as language spoken most often at home (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Test language/home language (0/1),BQ (numeric),Values,
402,CTRYRGN,Country region (9 regions),Integer,Nominal,2,0,Background questionnaire (derived),Derived - 9 Regions,"Derived (""not stated"" only)",Values,
403,IMPAR,Parents' immigration status (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Immigration status (1-3),"Derived (""not stated"" only)",Values,
404,IMGEN,First and second generation immigrants (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Immigrant generation (1-3),Derived - IMGEN,Values,
405,IMYRS,Years in country (derived),Integer,Ratio,2,0,Background questionnaire (derived),,Derived  - IMYRS,Values,
406,IMYRS_C,"Years in country (categorised, 4 categories)",Integer,Ordinal,2,0,Background questionnaire (derived),Derived - Year categories (1-4),Derived  - IMYRS,Values,
407,IMYRCAT,Years in country (2-category - derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Years in country (1-3),"Derived (""not stated"" only)",Values,
408,AGEG5LFS,Age groups in 5-year intervals based on LFS groupings (derived),Integer,Ordinal,2,0,Background questionnaire (derived),Derived - Age groups in equal 5 year intervals (1-10),Derived - Age,Values,
409,AGEG10LFS,Age in 10 year bands (derived),Integer,Ordinal,2,0,Background questionnaire (derived),Derived - Age categories (1-5),Derived - Age,Values,
410,AGEG10LFS_T,Age in 10 year bands (Trend-IALS/ALL),Integer,Ordinal,2,0,Background questionnaire (trend),Derived - Age categories (1-5),Derived - Age,Values,
411,EDCAT8,Highest level of formal education obtained (8 categories - derived),Integer,Ordinal,2,0,Background questionnaire (derived),Derived - ISCED (1-9),"Derived (""not stated"" only)",Values,
412,EDCAT7,Highest level of formal education obtained (7 categories - derived),Integer,Ordinal,2,0,Background questionnaire (derived),Derived - ISCED (1-8),"Derived (""not stated"" only)",Values,
413,EDCAT6,Highest level of formal education obtained (6 categories - derived),Integer,Ordinal,2,0,Background questionnaire (derived),Derived - ISCED (1-7),"Derived (""not stated"" only)",Values,
414,LEAVER1624,Youth aged 16 to 24 who have left education without completing ISCED 3 or higher (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Education left without ISCED3 (0/1),Derived - LEAVER1624,Values,
415,LEAVEDU,Respondent's age when leaving formal education (derived),Integer,Ratio,2,0,Background questionnaire (derived),,Derived - LEAVEDU,Values,
416,FE12,Participated in formal education in 12 months preceding survey (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Formal education (0/1),BQ (numeric),Values,
417,AETPOP,Adult education/training population (AET) - excludes youths 16-24 in initial cycle of studies (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Adult education (0/1),"Derived (""not stated"" only)",Values,
418,FAET12,Participated in formal AET in 12 months preceding survey (see AETPOP - derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Formal adult education (0/1),Derived - xFAET12,Values,
419,FAET12JR,Participated in formal AET for job-related reasons in 12 months preceding survey (see AETPOP - derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Job-related formal adult education (0/1),Derived - xFAET12JR,Values,
420,FAET12NJR,Participated in formal AET for non job-related reasons in 12 months preceding survey (see AETPOP - derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Job-related formal education (0/1),Derived - xFAET12JR,Values,
421,NFE12,Participated in non-formal education in 12 months preceding survey (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Non-Formal education (0/1),"Derived (background and ""unknown"")",Values,
422,NFE12JR,Participated in non-formal education for job-related reasons in 12 months preceding survey (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Job-related non-Formal education (0/1),"Derived (""unkown"" only)",Values,
423,NFE12NJR,Participated in non-formal education for non job-related reasons in 12 months preceding survey (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Job-related non-Formal education  - reversed (0/1),"Derived (""unkown"" only)",Values,
424,FNFAET12,Participated in formal or non-formal AET in 12 months preceding survey (see AETPOP - derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Adult education 16-24 (0/1),Derived - xFAET12JR,Values,
425,FNFE12JR,Participated in formal or non-formal education for job-related reasons in 12 months preceding the survey (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Job-related adult education (0/1),Derived - xFAET12JR,Values,
426,FNFAET12JR,Participated in formal or non-formal AET for job-related reasons in 12 months preceding survey (see AETPOP - derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Job-related adult education for JR reasons 16-24 (0/1),Derived - xFAET12JR,Values,
427,FNFAET12NJR,Participated in formal or non-formal AET for non job-related reasons in 12 mon. preceding survey (see AETPOP - derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Job-related adult education for non JR reasons 16-24 (0/1),Derived - xFAET12JR,Values,
428,EDWORK,Interaction between adults' work and education status (derived),Integer,Nominal,2,0,Background questionnaire (derived),Derived - Work and Education status (1-5),"Derived (""unkown"" only)",Values,
429,NEET,Adults not employed at time of survey and not in education or training in 12 months preceding the survey (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Employment and education participation (0/1),"Derived (""unkown"" only)",Values,
430,NFEHRSNJR,Number of hours of participation in non-formal education for non-job-related reasons (derived),Numeric/floating point,Ratio,7,2,Background questionnaire (derived),,Derived - NFEHRS,Values,
431,NFEHRSJR,Number of hours of participation in non-formal education for job-related reasons (derived),Numeric/floating point,Ratio,7,2,Background questionnaire (derived),,Derived - NFEHRS,Values,
432,NFEHRS,Number of hours of participation in non-formal education (derived),Integer,Ratio,4,0,Background questionnaire (derived),,Derived - NFEHRS,Values,
433,NOPAIDWORKEVER,Adults who never had paid work including self-employment in past (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Paid work (0/1),"Derived (""unknown"" and ""not stated"" only)",Values,
434,PAIDWORK12,Adults who have had paid work during the 12 months preceding the survey (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Paid work last 12 months (0/1),"Derived (""not stated"" only)",Values,
435,PAIDWORK5,Adults who have had paid work in last 5 years (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - Paid work last 5 years (0/1),"Derived (""unkown"" only)",Values,
436,ISCOSKIL4,"Occupational classification of respondent's job (4 skill based categories), last or current (derived)",Integer,Ordinal,2,0,Background questionnaire (derived),Derived - Occupational Classification (1-4),Derived - ISCOSKIL4,Values,
437,ISIC1L,"Industry classification of respondent's job at 1-digit level(ISIC rev 4), last job (derived)",String/character (Unicode),Nominal,4,0,Background questionnaire (derived),"Derived - ISIC Rev 4 (1 digit, A-U)",Derived - ISCO/ISIC,Values,
438,ISIC2L,"Industry classification of respondent's job at 2-digit level (ISIC rev 4), last job (derived)",String/character (Unicode),Nominal,4,0,Background questionnaire (derived),Derived - ISIC Rev 4 (1-2 digits),Derived - ISCO/ISIC,Values,
439,ISIC1C,"Industry classification of respondent's job at 1-digit level (ISIC rev 4), current job (derived)",String/character (Unicode),Nominal,4,0,Background questionnaire (derived),"Derived - ISIC Rev 4 (1 digit, A-U)",Derived - ISCO/ISIC,Values,
440,ISIC2C,"Industry classification of respondent's job at 2-digit level (ISIC rev 4), current job (derived)",String/character (Unicode),Nominal,4,0,Background questionnaire (derived),Derived - ISIC Rev 4 (1-2 digits),Derived - ISCO/ISIC,Values,
441,ISCO1C,"Occupational classification of respondent's job at 1-digit level (ISCO 2008), current job (derived)",String/character (Unicode),Nominal,4,0,Background questionnaire (derived),Derived - ISCO 2008 (1 digit),Derived - ISCO/ISIC,Values,
442,ISCO2C,"Occupational classification of respondent's job at 2-digit level (ISCO 2008), current job (derived)",String/character (Unicode),Nominal,4,0,Background questionnaire (derived),Derived - ISCO 2008 (1-2 digits),Derived - ISCO/ISIC,Values,
443,ISCO1L,"Occupational classification of respondent's job at 1-digit level (ISCO 2008), last job (derived)",String/character (Unicode),Nominal,4,0,Background questionnaire (derived),Derived - ISCO 2008 (1 digit),Derived - ISCO/ISIC,Values,
444,ISCO2L,"Occupational classification of respondent's job at 2-digit level (ISCO 2008), last job (derived)",String/character (Unicode),Nominal,4,0,Background questionnaire (derived),Derived - ISCO 2008 (1-2 digits),Derived - ISCO/ISIC,Values,
445,EARNHR,Hourly earnings excluding bonuses for wage and salary earners (derived),Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
446,EARNHRDCL,"Hourly earnings excluding bonuses for wage and salary earners, in deciles (derived)",Integer,Ordinal,2,0,Background questionnaire (derived),Derived - Decile,"Derived (""not stated""  and ""valid skip"")",Values,
447,EARNHRPPP,"Hourly earnings excluding bonuses for wage and salary earners, PPP corrected $US (derived)",Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
448,EARNHRBONUS,Hourly earnings including bonuses for wage and salary earners (derived),Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
449,EARNHRBONUSDCL,"Hourly earnings including bonuses for wage and salary earners, in deciles (derived)",Integer,Ordinal,2,0,Background questionnaire (derived),Derived - Decile,"Derived (""not stated""  and ""valid skip"")",Values,
